record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Recommended,Works Recommended (1).xlsx,23701,Gujarat,PORBANDAR,DR. MANSUKH MANDAVIYA,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),WS/MP18344/2025-2026/179316,Normal/Others,Construction of community centers and community halls,Work Community Hall of Ghadiya family near Mataji temple in Bandhiya village.,2025-03-15,2025-06-11,,,,500000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,11890,Tamil Nadu,KANCHEEPURAM(SC),Ganesan Selvam,CHENGALPATTU(District Collector Chengalpattu_IDA),WS/MP743/2025-2026/161762,Normal/Others,Purchase of sports equipment,Supply of Sports Equipments To Government Higher Secondary School Padalam,,,2025-07-26,,,,,250000.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,69691,Tamil Nadu,VILUPPURAM(SC),D Ravikumar,Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA),WS/MP457/2025-2026/257046,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of Cement concrete road at Pillaiyar koil street, Venganthoor village, Kanai Block, Vikravandi",2026-01-04,2026-01-28,,,,499668.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,73074,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),WS/MP381/2026-2027/276612,Normal/Others,Installing community drinking water plants,For RO Purifier and Water Cooler,2026-03-30,2026-05-13,,,,,100000.0,,,,,Sanction,,,,,
Works Completed,Works Completed.xlsx,14473,Madhya Pradesh,BETUL(ST),Durga Das Uikey,BETUL(DISTRICT COLLECTOR BETUL_IDA),WS/MP444/2024-2025/146165,Normal/Others,Construction of bus-sheds or bus-stops,L.No.177 dt. 07.10.24 Gram Panchayat shahapur me NH47 road par,,,2026-01-27,,,,,259942.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,58450,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA(DISTRICT MAGISTRATE BANDA_IDA),WS/MP18206/2024-2025/158552,,Lighting of public spaces,,,,,2025-04-22,,,,,140377.0,,,,Payment Success,DHARMENDRA ENTERPRISES,,,
Works Recommended,Works Recommended (1).xlsx,96244,Odisha,JAGATSINGHPUR(SC),BIBHU PRASAD TARAI,JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),,Normal/Others,Construction of community centers and community halls,Construction of Community Center at Arangabad village of Biridi Block.,2026-07-23,,,,,400000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,13188,Karnataka,SHIMOGA,Shri B Y Raghavendra,UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),WS/MP337/2024-2025/159909,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Development of Jantrabagilu Road, Hosadu Village, Kundapur Taluk, Bindur Assembly Constituency. (SC)",2024-12-26,2025-03-17,,,,,350000.0,,,,,Work partially Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,77281,Madhya Pradesh,DHAR(ST),SAVITRI THAKUR,DHAR(DISTRICT COLLECTOR DHAR_IDA),WS/MP18102/2025-2026/266834,,Purchase of mobile water tankers,,,,,2026-02-20,,,,,110000.0,,,,Payment Success,M P  AGRO DHAR,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,35356,Uttar Pradesh,ETAWAH(SC),JITENDRA KUMAR DOHARE,AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA),WS/MP18214/2025-2026/165247,,Street lights,,,,,2026-05-07,,,,,64984.0,,,,Payment Success,Yuraj construction,,,
Works Recommended,Works Recommended (1).xlsx,73090,Telangana,KHAMMAM,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),WS/MP18189/2026-2027/262739,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of CC Road from Karnati Narsimha Reddy house to Karnati Srinivasa Reddy house,Meenavolu village",2026-02-13,2026-05-26,,,,250000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,15561,Andhra Pradesh,AMALAPURAM(SC),GM Harish Balayogi,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),WS/MP18001/2024-2025/163131,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Formation of BT Road from KNF Road to Sathirevu puntha SC Locality via Lockpeet, Luthern High School, Jayapet in Sakhinetipalli village",2025-01-02,2025-01-10,,,,11586983.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,31671,Andhra Pradesh,RAJAMPET,Midhun Reddy,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),WS/MP524/2025-2026/191950,Normal/Others,Providing supply pipelines for drinking water,Providing Pipe Line in Ammagaripalli (Village and GP),2025-04-21,2025-05-20,,,,123576.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,57450,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18228/2025-2026/236075,Normal/Others,Street lights,GHANSHYAM GOND SO RAM AWTAR KE GHAR KE PASS 01 NAG SOLAR STREET LIGHT,2025-09-22,2026-02-03,,,,19855.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,39053,West Bengal,JOYNAGAR(SC),Pratima Mondal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),WS/MP485/2025-2026/205027,Normal/Others,Installing tube-wells and borewells,"Sinking of electrically operated submersible pump with over head tank nad soakpit chamber near the house of Nirapada Guchhait,Under Jyotishpur GP,Mouza-Radharanipur,J.L-149,Plot No-876 881,",2025-05-29,2025-12-05,,,,350000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,2987,Rajasthan,BIKANER(SC),Shri Arjun Ram Meghwal,BIKANER(DISTRICT COLLECTOR BIKANER_IDA),WS/MP384/2024-2025/147560,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","CC Block Niraman Karya, Guru Jambeshwar Mandir ke Pass Lalasar Sathri, Working Agency Gram Panchayat Lalasar",,,2025-08-11,,,,,2498759.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,38260,Andhra Pradesh,ELURU,Putta Mahesh Kumar,Eluru(DISTRICT COLLECTOR ELURU_IDA),WS/MP18007/2025-2026/137085,,Setting up of laboratories,,,,,2025-12-09,,,,,400000.0,,,,Payment Success,I MAX SCIENCE HOUSE,,,
Works Recommended,Works Recommended (1).xlsx,42260,Madhya Pradesh,DHAR(ST),SAVITRI THAKUR,DHAR(DISTRICT COLLECTOR DHAR_IDA),WS/MP18102/2025-2026/210316,Normal/Others,Purchase of mobile water tankers,GI cotted water tankar 5500 liter tayar 900x16 new,2025-06-19,2025-10-27,,,,159212.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,70171,Odisha,KEONJHAR(ST),ANANTA NAYAK,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),WS/MP18146/2025-2026/250838,,Construction of community centers and community halls,,,,,2026-08-18,,,,,491445.0,,,,Payment Success,RADHA GOBIBDA PARIDA,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,36360,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA),WS/MP18206/2026-2027/268894,,Lighting of public spaces,,,,,2026-07-08,,,,,498749.0,,,,Payment Success,Lakshya Contruction,,,
Works Recommended,Works Recommended (1).xlsx,74890,Gujarat,BARDOLI(ST),Prabhubhai Nagarbhai Vasava,TAPI(District collector Tapi_IDA),WS/MP582/2026-2027/265592,Normal/Others,"Purchase of smart boards, visual display units and projectors","Work to build a digital AI Based 7D lab in Pati primary school to provide modern knowledge to students under Digital India, Taluka. Kukarmunda, District. Tapi",2026-02-04,2026-05-16,,,,335000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,78360,Odisha,BARGARH,PRADEEP PUROHIT,Baragada(DISTRICT COLLECTOR BARAGARH_IDA),WS/MP18139/2026-2027/270795,Normal/Others,Construction of community centers and community halls,"Completion of Ex-Service Man Community Hall at Bharatinagar Ward No. 18 Behind Rotary School, Bharatinagar, Bargarh, Through BDO Bargarh",2026-02-24,2026-04-08,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,72836,Odisha,BOLANGIR,Smt Sangeeta Kumari Singh Deo,BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA),WS/MP373/2026-2027/276125,Normal/Others,Construction of community centers and community halls,Construction of Community Centre near Bhagbat Tungi at Karamadanda of Agalpur village of Agalpur GP,2026-03-27,2026-04-10,,,,,250000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,73804,Maharashtra,AHMEDNAGAR,NILESH DNYANDEV LANKE,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),WS/MP18110/2026-2027/263945,Normal/Others,Construction of community centers and community halls,Construction of a community centres and community halls at Shekate in front of Khandoba Mandir GP property No 177 Tal Pathardi,2026-01-31,2026-06-24,,,,1200000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,77750,Uttar Pradesh,MORADABAD,RUCHI VIRA,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),WS/MP18231/2024-2025/165110,,Lighting of public spaces,,,,,2025-04-26,,,,,100418.0,,,,Payment Success,NATIONAL INFRATECH,,,
Works Completed,Works Completed.xlsx,10045,West Bengal,MURSHIDABAD,Abu Taher Khan,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),WS/MP852/2024-2025/152867,Normal/Others,Lighting of public spaces,Installation a Solar light at mominpur kabarsthan . dag no-3644,,,2025-10-08,,,,,140538.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,52851,Telangana,ZAHIRABAD,SURESH KUMAR SHETKAR,SANGAREDDY(District Collector Sangareddy_IDA),,Normal/Others,Street lights,"Installation of High Masth lights at temple road in Edulapally village, Jharasangam Mandal",2025-09-23,,,,,200000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,63860,Bihar,KARAKAT,RAJA RAM SINGH,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),WS/MP18037/2025-2026/158912,,Development of public parks,,,,,2026-04-06,,,,,676916.0,,,,Payment Success,BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,7152,Assam,NOWGONG,Pradyut Bordoloi,MARIGAON(District Development Commissioner Morigaon),WS/MP541/2025-2026/246510,,Construction of public toilets and bathrooms,,,,,2026-06-18,,,,,95760.0,,,,Payment Success,SHAJAHAN ALI,,,
Works Sanctioned,Works Sanctioned.xlsx,32915,Haryana,BHIWANI MAHENDRAGARH,Shri  Dharambir Singh,Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA),WS/MP329/2025-2026/197756,Normal/Others,Improvement of electricity distribution infrastructure,Shifting of Dera dhanis connections Arya Nagar AP feeder to Lad RDS feeder,2025-05-08,2025-08-19,,,,,73000.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,40358,Chhattisgarh,RAIGARH(ST),RADHE SHYAM RATHIYA,Sarangarh-Bilaigarh(Collector SB_IDA),WS/MP18335/2025-2026/207269,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of C.C. Road,2025-06-07,2025-07-28,,,,998813.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,2717,Gujarat,DAHOD(ST),Jaswantsinh Sumanbhai Bhabhor,Dahod(DISTRICT COLLECTOR DOHAD_IDA),WS/MP577/2024-2025/140753,Normal/Others,Construction of public irrigation facilities,nisarta gamdi game nisarta faliya ma sarvajnik kuva nu kam,2024-09-20,2025-01-08,,,,,400000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,65113,Bihar,GOPALGANJ (SC),Alok Kumar Suman,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),WS/MP413/2025-2026/249787,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",six lakh 50 Thousand for pcc road,2025-11-21,2025-12-24,,,,650000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,97391,Goa,SOUTH GOA,CAPTAIN VIRIATO FERNANDES,SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA),,Normal/Others,Street lights,"To procure and install High Mast light near St. Anthony Church, Igorgiwada, Amblai in Ward No. 7 of panchayat juridiction.",2026-08-01,,,,,1000000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,1406,Rajasthan,NAGAUR,Shri Hanuman Beniwal,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),WS/MP386/2024-2025/142490,Normal/Others,Purchase of furniture and fixtures for educational purposes,Purchasing of Furniture for Government College Khinwsar,,,2025-04-04,,,,,299850.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,32799,Gujarat,ANAND,Mitesh Rameshbhai Bakabhai Patel,ANAND(District Collector ANAND_IDA),WS/MP579/2025-2026/194620,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sachidanand Aashramma Madhavvadi ma block paving nu kam,2025-04-26,2025-05-28,,,,129962.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,24770,Tamil Nadu,KANCHEEPURAM(SC),Ganesan Selvam,CHENGALPATTU(District Collector Chengalpattu_IDA),WS/MP743/2025-2026/193294,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,Purchase of Books for GHSS Singaperumalkoil,,,2026-01-08,,,,,25000.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,53130,Chhattisgarh,KORBA,Jyotsna Charandas Mahant,Gaurela-Pendra-Marwahi(Collector GPM_IDA),WS/MP429/2025-2026/229053,Normal/Others,Construction of buildings for community cultural activities,Manch with shed construction.,2025-08-26,2025-10-07,,,,299735.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,16110,Telangana,WARANGEL(SC),KADIYAM KAVYA,JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA),WS/MP18389/2025-2026/161150,,Setting up of kitchen and pantries,,,,,2026-01-09,,,,,343074.0,,,,Payment Success,KAMIDI RATHNAKAR REDDY,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,20595,Rajasthan,BHARATPUR(SC),SANJNA JATAV,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),WS/MP18161/2025-2026/228859,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-03-20,,,,,4275.0,,,,Payment Success,ummed singh,,,
Works Completed,Works Completed.xlsx,9695,Karnataka,BANGALORE NORTH,SHOBHA KARANDLAJE,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),WS/MP18355/2025-2026/158368,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Improvements  of Roads and Drains at  Vrisahbhavathi Nagar Ward No-53(new ward no 102), 10th Cross Road  and Cross Roads, Andanappa Layout",,,2025-07-03,,,,,1499917.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,60259,Punjab,PATIALA,DR DHARAMVIRA GANDHI,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),WS/MP18158/2026-2027/249606,Normal/Others,Construction of community centers and community halls,Construction of room and kitchen ion Dharamshala Block Sanaur,2026-02-25,2026-05-18,,,,,300000.0,,,,,Sanction,,,,,
Works Completed,Works Completed.xlsx,20463,Odisha,PURI,SAMBIT PATRA,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),WS/MP18149/2025-2026/183734,Normal/Others,Street lights,Installation of Solar Light at Cremation Ground of Kesharpur Village.,,,2025-11-13,,,,,40000.0,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,15596,Himachal Pradesh,SHIMLA (SC),Suresh Kumar Kashyap,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),WS/MP598/2024-2025/163699,Normal/Others,Construction of footpaths and pedestrian ways,Construction of upgradation Path Main Road FRU to Village Mohri near House of Dinesh GP Shogi Executive Agency BDO Tutu,2025-01-06,2025-01-30,,,,,300000.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,7123,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),WS/MP18031/2024-2025/149013,Normal/Others,Lighting of public spaces,setup a solar high mask street light at amba,2024-10-22,2025-02-28,,,,299000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,1893,West Bengal,DIAMOND HARBOUR,Shri Abhishek Banerjee,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of CC Road with Drain Holding No. Z-3/238/123 to  Z-3/238/125 Bagdi Para Road. (150 mtr),2024-09-05,,,,,500000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,14582,Bihar,KHAGARIA,RAJESH VERMA,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),WS/MP18039/2024-2025/161529,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","beldaur vidhansabha antargat gogri prakhand ke maheshkhut panchayat antargat lewa road se das tola hote hue mahendra mandal ke ghar  tak mitti, bicks PCC nirman karya.",2024-12-28,2025-03-11,,,,708638.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,27027,Punjab,SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA),WS/MP18314/2025-2026/219183,Normal/Others,Purchase of mobile water tankers,Purchase of Mobile Steel Water tanker With  Shower (3000 liters) Gram Panchayat Madewass Block Sunam,,,2026-02-12,,,,,325000.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,12219,Andhra Pradesh,TIRUPATI(SC),Maddila Gurumoorthy,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),WS/MP529/2024-2025/157361,Repair and Renovation,Construction of rooms and halls in school and colleges,Repairs to dormitory block at Dr. B.R. Ambedkar Residential school for boys at Kota in Kota Mandal.,2024-12-19,2025-01-16,,,,2000321.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,65877,Gujarat,MAHESANA,HARIBHAI PATEL,GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA),WS/MP18054/2026-2027/260675,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of RCC road work from Thakor Shaileshji Devaji  house to Moto Thakor Vas in village Mubarkpura,2026-01-22,2026-07-28,,,,,125000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,99298,Uttar Pradesh,KAISERGANJ,KARAN BHUSHAN SINGH,GONDA(DISTRICT MAGISTRATE GONDA_IDA),WS/MP18339/2026-2027/302620,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Sr.No 03 Interlocking work spanning a length of 230 meters from the unpaved road to Sitasharan Mishras house in Atibalpurwa, Gram Sabha Kindhaura.",2026-08-13,2026-09-02,,,,1222400.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,70033,Odisha,BHUBANESWAR,Smt Aparajita Sarangi,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),WS/MP300/2026-2027/257859,Normal/Others,Construction of community centers and community halls,"Development of Community Hall near Andhra Cultural Association, Bhubaneswar at A-1, Madhusudan Nagar, Unit-IV, Bhubaneswar, Ward No.-36",2026-01-09,2026-04-24,,,,1000000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,6427,Uttar Pradesh,BHADOHI,VINOD KUMAR BIND,BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA),WS/MP18380/2024-2025/151972,Normal/Others,Lighting of public spaces,Ward nu 1 Bhadohi ke Praimari School ke pas,,,2026-01-09,,,,,118971.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,32104,Punjab,FATEHGARH SAHIB(SC),Shri Amar Singh,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),WS/MP380/2025-2026/192936,Normal/Others,Construction of rooms and halls in school and colleges,FOR CONSTRUCTION OF ROOM AT GOVT.HIGH.SCHOOL AT RAMGARH SARDARA,2025-04-21,2025-07-08,,,,500000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,14790,Rajasthan,CHURU,Rahul Kaswan,CHURU(DISTRICT COLLECTOR CHURU_IDA),WS/MP728/2025-2026/192002,,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,,,,,2026-02-25,,,,,3705.0,,,,Payment Success,KAMLESH KANWAR,,,
Works Sanctioned,Works Sanctioned.xlsx,70340,Karnataka,BANGALORE NORTH,SHOBHA KARANDLAJE,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),WS/MP18355/2026-2027/270572,Normal/Others,Installing tube-wells and borewells,"Installation of tubewells and related energisation work at Ward No.19 Sanjayanagar, NGEF Layout.",2026-02-25,2026-07-01,,,,,850000.0,,,,,Work partially Completed,,,,,
